"","dateTime","day_of_week","month","season"
"121",2014-05-01,"Thursday",5,"summer"
"122",2014-05-02,"Friday",5,"summer"
"123",2014-05-03,"Saturday",5,"summer"
"124",2014-05-04,"Sunday",5,"summer"
"125",2014-05-05,"Monday",5,"summer"
"126",2014-05-06,"Tuesday",5,"summer"
"127",2014-05-07,"Wednesday",5,"summer"
"128",2014-05-08,"Thursday",5,"summer"
"129",2014-05-09,"Friday",5,"summer"
"130",2014-05-10,"Saturday",5,"summer"
"131",2014-05-11,"Sunday",5,"summer"
"132",2014-05-12,"Monday",5,"summer"
"133",2014-05-13,"Tuesday",5,"summer"
"134",2014-05-14,"Wednesday",5,"summer"
"135",2014-05-15,"Thursday",5,"summer"
"136",2014-05-16,"Friday",5,"summer"
"137",2014-05-17,"Saturday",5,"summer"
"138",2014-05-18,"Sunday",5,"summer"
"139",2014-05-19,"Monday",5,"summer"
"140",2014-05-20,"Tuesday",5,"summer"
"141",2014-05-21,"Wednesday",5,"summer"
"142",2014-05-22,"Thursday",5,"summer"
"143",2014-05-23,"Friday",5,"summer"
"144",2014-05-24,"Saturday",5,"summer"
"145",2014-05-25,"Sunday",5,"summer"
"146",2014-05-26,"Monday",5,"summer"
"147",2014-05-27,"Tuesday",5,"summer"
"148",2014-05-28,"Wednesday",5,"summer"
"149",2014-05-29,"Thursday",5,"summer"
"150",2014-05-30,"Friday",5,"summer"
"151",2014-05-31,"Saturday",5,"summer"
"152",2014-06-01,"Sunday",6,"summer"
"153",2014-06-02,"Monday",6,"summer"
"154",2014-06-03,"Tuesday",6,"summer"
"155",2014-06-04,"Wednesday",6,"summer"
"156",2014-06-05,"Thursday",6,"summer"
"157",2014-06-06,"Friday",6,"summer"
"158",2014-06-07,"Saturday",6,"summer"
"159",2014-06-08,"Sunday",6,"summer"
"160",2014-06-09,"Monday",6,"summer"
"161",2014-06-10,"Tuesday",6,"summer"
"162",2014-06-11,"Wednesday",6,"summer"
"163",2014-06-12,"Thursday",6,"summer"
"164",2014-06-13,"Friday",6,"summer"
"165",2014-06-14,"Saturday",6,"summer"
"166",2014-06-15,"Sunday",6,"summer"
"167",2014-06-16,"Monday",6,"summer"
"168",2014-06-17,"Tuesday",6,"summer"
"169",2014-06-18,"Wednesday",6,"summer"
"170",2014-06-19,"Thursday",6,"summer"
"171",2014-06-20,"Friday",6,"summer"
"172",2014-06-21,"Saturday",6,"summer"
"173",2014-06-22,"Sunday",6,"summer"
"174",2014-06-23,"Monday",6,"summer"
